LoginID,ClientID,orderId,OrderReferenceID,TWSAPI,exchangeOrderId,variety,exchange,brokerToken,transactionType,orderType,productType,TimeInForce,price,orderQuantity,triggerPrice,orderStatus,tradedPrice,pendingQuantity,CumulativeQuantity,OrderDisclosedQuantity,orderTimestamp,exchangeTimestamp,symbol,lastUpdateTimestamp,OrderExpiryDate,message,orderTag,OrderLegStatus,BoLegDetails,IsSpread,BoEntryOrderId,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,parentOrderId,filledQuantity,amount,date
KB311,KB311,1100026320,,TWSAPI,1100000002940803.0,NORMAL,NSEFO,54030,SELL,Limit,MIS,DAY,85.55,50,0.0,Filled,86.0,0,50,0,2023-04-19 09:20:13,19-04-2023 09:20:14,NIFTY 20APR2023 PE 17700,2023-04-19 09:20:13,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4300.0,2023-04-19
KB311,KB311,1100026321,,TWSAPI,1100000002941051.0,NORMAL,NSEFO,54030,SELL,Limit,MIS,DAY,85.55,50,0.0,Filled,86.0,0,50,0,2023-04-19 09:20:13,19-04-2023 09:20:14,NIFTY 20APR2023 PE 17700,2023-04-19 09:20:13,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4300.0,2023-04-19
KB311,KB311,1100026322,,TWSAPI,1000000002439389.0,NORMAL,NSEFO,54025,SELL,Limit,MIS,DAY,64.65,50,0.0,Filled,72.6,0,50,0,2023-04-19 09:20:13,19-04-2023 09:21:10,NIFTY 20APR2023 CE 17600,2023-04-19 09:21:09,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,3629.9999999999995,2023-04-19
KB311,KB311,1100026351,,TWSAPI,1100000002956710.0,NORMAL,NSEFO,54030,BUY,Limit,MIS,DAY,106.95,50,0.0,Filled,102.3,0,50,0,2023-04-19 09:20:13,19-04-2023 15:00:14,NIFTY 20APR2023 PE 17700,2023-04-19 15:00:12,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,5115.0,2023-04-19
KB311,KB311,1100026352,,TWSAPI,1100000002957323.0,NORMAL,NSEFO,54030,BUY,Limit,MIS,DAY,90.55,50,0.0,Filled,90.55,0,50,0,2023-04-19 09:20:13,19-04-2023 09:47:19,NIFTY 20APR2023 PE 17700,2023-04-19 09:47:18,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4527.5,2023-04-19
KB311,KB311,1100026353,,TWSAPI,1100000002957343.0,NORMAL,NSEFO,54030,BUY,Limit,MIS,DAY,61.25,50,0.0,Filled,61.25,0,50,0,2023-04-19 09:20:13,19-04-2023 11:37:10,NIFTY 20APR2023 PE 17700,2023-04-19 11:37:09,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,3062.5,2023-04-19
KB311,KB311,1100026520,,TWSAPI,1100000003040265.0,NORMAL,NSEFO,53992,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.05,0,50,0,2023-04-19 09:20:19,19-04-2023 09:20:21,NIFTY 20APR2023 PE 16900,2023-04-19 09:20:20,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,52.5,2023-04-19
KB311,KB311,1100026521,,TWSAPI,1100000003040332.0,NORMAL,NSEFO,53992,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.05,0,50,0,2023-04-19 09:20:19,19-04-2023 09:20:21,NIFTY 20APR2023 PE 16900,2023-04-19 09:20:20,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,52.5,2023-04-19
KB311,KB311,1100026522,,TWSAPI,1100000003040564.0,NORMAL,NSEFO,53992,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.05,0,50,0,2023-04-19 09:20:19,19-04-2023 09:20:21,NIFTY 20APR2023 PE 16900,2023-04-19 09:20:20,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,52.5,2023-04-19
KB311,KB311,1100026523,,TWSAPI,1000000002505259.0,NORMAL,NSEFO,54057,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.1,0,50,0,2023-04-19 09:20:19,19-04-2023 09:20:21,NIFTY 20APR2023 CE 18400,2023-04-19 09:20:20,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,55.00000000000001,2023-04-19
KB311,KB311,1100026524,,TWSAPI,1000000002505408.0,NORMAL,NSEFO,54057,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.1,0,50,0,2023-04-19 09:20:19,19-04-2023 09:20:21,NIFTY 20APR2023 CE 18400,2023-04-19 09:20:20,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,55.00000000000001,2023-04-19
KB311,KB311,1100026526,,TWSAPI,1000000002505409.0,NORMAL,NSEFO,54057,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.1,0,50,0,2023-04-19 09:20:19,19-04-2023 09:20:21,NIFTY 20APR2023 CE 18400,2023-04-19 09:20:20,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,55.00000000000001,2023-04-19
KB311,KB311,1100026654,,TWSAPI,1100000003071146.0,NORMAL,NSEFO,54030,SELL,Limit,MIS,DAY,85.8,50,0.0,Filled,88.0,0,50,0,2023-04-19 09:20:23,19-04-2023 09:20:24,NIFTY 20APR2023 PE 17700,2023-04-19 09:20:23,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4400.0,2023-04-19
KB311,KB311,1100026655,,TWSAPI,1100000003071155.0,NORMAL,NSEFO,54030,SELL,Limit,MIS,DAY,85.8,50,0.0,Filled,88.0,0,50,0,2023-04-19 09:20:23,19-04-2023 09:20:24,NIFTY 20APR2023 PE 17700,2023-04-19 09:20:23,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4400.0,2023-04-19
KB311,KB311,1100026657,,TWSAPI,1000000002524412.0,NORMAL,NSEFO,54025,SELL,Limit,MIS,DAY,65.15,50,0.0,Filled,74.05,0,50,0,2023-04-19 09:20:23,19-04-2023 09:21:08,NIFTY 20APR2023 CE 17600,2023-04-19 09:21:07,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,3702.5,2023-04-19
KB311,KB311,1100026658,,TWSAPI,1000000002524427.0,NORMAL,NSEFO,54025,SELL,Limit,MIS,DAY,65.15,50,0.0,Filled,74.15,0,50,0,2023-04-19 09:20:23,19-04-2023 09:21:08,NIFTY 20APR2023 CE 17600,2023-04-19 09:21:07,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,3707.5000000000005,2023-04-19
KB311,KB311,1100026659,,TWSAPI,1100000003071380.0,NORMAL,NSEFO,54030,SELL,Limit,MIS,DAY,85.8,50,0.0,Filled,88.05,0,50,0,2023-04-19 09:20:23,19-04-2023 09:20:24,NIFTY 20APR2023 PE 17700,2023-04-19 09:20:23,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4402.5,2023-04-19
