LoginID,ClientID,orderId,OrderReferenceID,TWSAPI,exchangeOrderId,variety,exchange,brokerToken,transactionType,orderType,productType,TimeInForce,price,orderQuantity,triggerPrice,orderStatus,tradedPrice,pendingQuantity,CumulativeQuantity,OrderDisclosedQuantity,orderTimestamp,exchangeTimestamp,symbol,lastUpdateTimestamp,OrderExpiryDate,message,orderTag,OrderLegStatus,BoLegDetails,IsSpread,BoEntryOrderId,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,parentOrderId,filledQuantity
KB188,KB188,1100026863,,TWSAPI,1800000003977632,NORMAL,NSEFO,52867,SELL,Limit,MIS,DAY,159.6,25,0.0,Filled,159.6,0,25,0,2023-04-19 09:20:31,19-04-2023 09:20:33,BANKNIFTY 20APR2023 PE 42300,2023-04-19 09:20:32,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026864,,TWSAPI,1500000003945646,NORMAL,NSEFO,52870,SELL,Limit,MIS,DAY,123.7,25,0.0,Filled,124.45,0,25,0,2023-04-19 09:20:31,19-04-2023 09:20:32,BANKNIFTY 20APR2023 CE 42400,2023-04-19 09:20:31,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026892,,TWSAPI,1600000004320040,NORMAL,NSEFO,52866,BUY,Limit,MIS,DAY,94.45,25,0.0,Filled,94.45,0,25,0,2023-04-19 09:20:31,19-04-2023 12:20:02,BANKNIFTY 20APR2023 CE 42300,2023-04-19 12:20:00,01-01-0001 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026893,,TWSAPI,1500000003954154,NORMAL,NSEFO,52862,BUY,Limit,MIS,DAY,135.9,25,0.0,Filled,135.9,0,25,0,2023-04-19 09:20:31,19-04-2023 12:20:01,BANKNIFTY 20APR2023 CE 42200,2023-04-19 12:20:00,01-01-0001 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026894,,TWSAPI,1700000004141163,NORMAL,NSEFO,52881,BUY,Limit,MIS,DAY,360.8,25,0.0,Filled,300.3,0,25,0,2023-04-19 09:20:31,19-04-2023 11:15:58,BANKNIFTY 20APR2023 PE 42400,2023-04-19 11:15:57,01-01-0001 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026895,,TWSAPI,1500000003954312,NORMAL,NSEFO,52870,BUY,Limit,MIS,DAY,63.7,25,0.0,Filled,63.7,0,25,0,2023-04-19 09:20:32,19-04-2023 12:20:04,BANKNIFTY 20APR2023 CE 42400,2023-04-19 12:20:03,01-01-0001 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026896,,TWSAPI,1700000004141460,NORMAL,NSEFO,52865,BUY,Limit,MIS,DAY,210.75,25,0.0,Filled,175.3,0,25,0,2023-04-19 09:20:32,19-04-2023 11:15:58,BANKNIFTY 20APR2023 PE 42200,2023-04-19 11:15:56,01-01-0001 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026912,,TWSAPI,1800000003990970,NORMAL,NSEFO,52867,BUY,Limit,MIS,DAY,276.55,25,0.0,Filled,231.1,0,25,0,2023-04-19 09:20:32,19-04-2023 11:15:59,BANKNIFTY 20APR2023 PE 42300,2023-04-19 11:15:58,01-01-0001 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100027018,,TWSAPI,1800000004026016,NORMAL,NSEFO,52867,BUY,Limit,MIS,DAY,257.5,25,0.0,Filled,257.5,0,25,0,2023-04-19 09:20:35,19-04-2023 15:00:06,BANKNIFTY 20APR2023 PE 42300,2023-04-19 15:00:05,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100027037,,TWSAPI,1700000004188422,NORMAL,NSEFO,52881,BUY,Limit,MIS,DAY,302.95,25,0.0,Filled,302.95,0,25,0,2023-04-19 09:20:35,19-04-2023 10:05:02,BANKNIFTY 20APR2023 PE 42400,2023-04-19 10:05:00,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
